Date,Adj Close,Volume
2018-01-02,32.369999,8770000
2018-01-03,35.900002,11560100
2018-01-04,32.32,14403800
2018-01-05,34.0,9516900
2018-01-08,39.860001000000004,13654700
2018-01-09,42.07,16747100
2018-01-10,41.919998,7256400
2018-01-11,37.560001,10507000
2018-01-12,32.349998,15177900
2018-01-15,36.5,7973000
2018-01-16,36.52,9812000
2018-01-17,37.610001000000004,5631600
2018-01-18,36.959998999999996,6510600
2018-01-19,37.48,3181700
2018-01-22,37.380001,4012700
2018-01-23,36.639998999999996,3696100
2018-01-24,34.869999,4772200
2018-01-25,31.68,7258700
2018-01-26,35.09,8208400
2018-01-29,33.099998,5264500
2018-01-30,30.48,7042200
2018-01-31,31.02,5756400
2018-02-01,27.549999,9444200
2018-02-02,24.110001,12169700
2018-02-05,24.209999,12608100
2018-02-06,28.799999,9828300
2018-02-07,27.620001000000002,10058400
2018-02-08,27.15,4615700
2018-02-09,28.17,6876500
2018-02-12,26.9,5096800
2018-02-13,26.719998999999998,2828200
2018-02-14,27.15,5538000
2018-02-15,27.99,2984100
2018-02-16,26.5,3969000
2018-02-20,29.6,8067800
2018-02-21,28.74,4656200
2018-02-22,28.43,2556500
2018-02-23,27.889999,2195600
2018-02-26,27.280001000000002,2395000
2018-02-27,26.450001,4513600
2018-02-28,27.35,4236300
2018-03-01,29.959999,6818700
2018-03-02,28.99,5144600
2018-03-05,32.369999,8941200
2018-03-06,32.93,9396500
2018-03-07,31.42,5520700
2018-03-08,31.809998999999998,4749400
2018-03-09,30.950001,4182100
2018-03-12,32.490002000000004,4936200
2018-03-13,31.940001000000002,4498300
2018-03-14,31.1,2841000
2018-03-15,31.209999,3975400
2018-03-16,32.52,9814000
2018-03-19,33.68,5777800
2018-03-20,32.959998999999996,4091000
2018-03-21,33.110001000000004,2939100
2018-03-22,31.690001000000002,4001600
2018-03-23,33.41,7043400
2018-03-26,34.18,5112400
2018-03-27,33.310001,4877000
2018-03-28,32.25,5396800
2018-03-29,33.66,5261700
2018-04-02,32.009997999999996,5266100
2018-04-03,27.99,10178100
2018-04-04,27.639999,13509100
2018-04-05,28.49,7526800
2018-04-06,27.690001000000002,5612700
2018-04-09,25.74,5809100
2018-04-10,27.51,11355900
2018-04-11,27.66,5355200
2018-04-12,27.67,2740300
2018-04-13,29.84,6777900
2018-04-16,30.9,4953300
2018-04-17,29.860001,3543700
2018-04-18,30.6,3139400
2018-04-19,30.25,3397900
2018-04-20,30.01,3025100
2018-04-23,28.15,4210300
2018-04-24,28.24,2598400
2018-04-25,27.25,2544600
2018-04-26,27.24,1780800
2018-04-27,27.34,1142600
2018-04-30,30.110001,4341600
2018-05-01,29.49,2512700
2018-05-02,29.67,3592100
2018-05-03,29.959999,2796100
2018-05-04,29.969998999999998,2366100
2018-05-07,30.25,2903000
2018-05-08,29.629998999999998,3048200
2018-05-09,29.870001000000002,1982600
2018-05-10,29.75,1380600
2018-05-11,30.299999,1820800
2018-05-14,32.380001,6968300
2018-05-15,32.509997999999996,3356100
2018-05-16,32.009997999999996,2076600
2018-05-17,33.139998999999996,5279400
2018-05-18,36.040001000000004,6417800
2018-05-22,39.439999,7385300
2018-05-23,38.759997999999996,6617100
2018-05-24,36.349998,7374300
2018-05-25,35.0,5860300
2018-05-28,36.619999,4463700
2018-05-29,36.560001,5711300
2018-05-30,37.07,3707200
2018-05-31,36.740002000000004,3398500
2018-06-01,37.700001,3516000
2018-06-04,39.540001000000004,5992700
2018-06-05,39.619999,9968800
2018-06-06,40.68,6268600
2018-06-07,39.279999,7086700
2018-06-08,39.32,7156300
2018-06-11,38.34,2966400
2018-06-12,38.57,3719400
2018-06-13,39.860001000000004,3977300
2018-06-14,38.540001000000004,3349300
2018-06-15,39.389998999999996,2880300
2018-06-18,40.650002,4454900
2018-06-19,42.529999,9309900
2018-06-20,45.360001000000004,13372000
2018-06-21,47.759997999999996,12577800
2018-06-22,43.43,12943900
